,image_id,width,height,x,y,w,h,class
74,159,1622,626,1051,335,38,33,2
75,160,1622,626,936,186,24,24,5
76,160,1622,626,814,218,9,10,2
77,161,1622,626,296,408,28,33,1
78,161,1622,626,828,440,17,16,2
79,163,1622,626,894,319,34,30,2
80,163,1622,626,12,262,27,39,2
81,164,1622,626,759,421,14,14,6
82,166,1622,626,1257,345,72,64,5
83,172,1622,626,1164,274,44,34,2
84,172,1622,626,1177,207,37,34,2
85,180,1622,626,1298,84,126,101,7
86,182,1622,626,681,258,34,31,5
87,182,1622,626,680,229,34,27,5
88,182,1622,626,679,197,34,30,5
89,182,1622,626,678,165,39,33,4
90,188,1622,626,501,302,11,9,6
91,188,1622,626,107,301,40,28,6
92,189,1622,626,841,422,10,10,1
93,190,1622,626,1111,336,23,18,7
94,205,1622,626,962,188,29,28,7
95,206,1622,626,867,386,43,49,6
96,208,1622,626,770,412,17,18,1
97,208,1622,626,14,436,28,20,5
98,209,1622,626,1164,284,34,40,1
99,209,1622,626,764,307,15,13,2
100,212,1622,626,740,359,44,35,6
101,218,1622,626,147,209,54,43,5
102,221,1622,626,792,353,17,15,2
103,221,1622,626,458,379,13,11,1
104,226,1622,626,918,420,8,7,1
105,228,1622,626,852,295,40,33,2
106,228,1622,626,38,356,40,36,1
107,231,1622,626,864,425,8,6,1
108,233,1622,626,1476,6,144,101,2
109,234,1622,626,1411,395,41,40,3
110,245,1622,626,842,369,8,9,2
111,245,1622,626,860,373,8,8,5
112,246,1622,626,515,427,8,7,1
113,246,1622,626,869,423,5,5,1
114,250,1622,626,882,250,35,36,2
115,254,1622,626,1411,178,97,68,2
116,254,1622,626,1416,121,89,59,5
117,256,1622,626,854,411,6,8,1
118,257,1622,626,836,210,11,11,3
119,257,1622,626,816,218,7,6,5
120,257,1622,626,816,225,7,6,2
121,261,1622,626,1156,64,74,63,3
122,263,1622,626,1176,402,26,20,6
123,265,1622,626,565,339,23,22,6
124,267,1622,626,1431,464,61,37,6
125,268,1622,626,148,239,34,24,5
126,270,1622,626,1013,48,85,78,2
127,270,1622,626,1020,1,77,44,5
128,272,1622,626,1424,376,32,21,7
129,283,1622,626,972,243,44,41,2
130,284,1622,626,1322,199,129,79,2
131,284,1622,626,989,367,13,10,3
132,284,1622,626,981,359,8,8,2
133,289,1622,626,1229,389,37,29,4
134,292,1622,626,1129,406,13,11,6
135,292,1622,626,575,409,10,15,5
136,292,1622,626,943,409,4,4,1
137,294,1622,626,1510,249,111,91,7
138,296,1622,626,1236,143,118,78,2
139,308,1622,626,985,276,46,41,2
140,308,1622,626,74,314,40,24,2
141,317,1622,626,826,368,34,36,2
142,322,1622,626,976,356,35,32,2
143,323,1622,626,452,393,30,29,1
144,332,1622,626,256,408,19,19,5
145,332,1622,626,767,406,13,14,1
146,334,1622,626,1023,164,140,132,3
147,334,1622,626,794,391,7,8,2
148,339,1622,626,1164,317,48,36,3
149,339,1622,626,1162,278,20,34,5
150,339,1622,626,1048,328,20,19,2
151,339,1622,626,990,360,10,9,3
152,342,1622,626,578,402,15,13,1
153,347,1622,626,941,374,31,29,5
154,347,1622,626,849,425,3,3,1
155,348,1622,626,833,456,24,23,3
156,348,1622,626,764,482,7,5,2
157,353,1622,626,1121,282,28,28,2
158,354,1622,626,19,218,41,40,2
159,354,1622,626,7,175,42,42,5
160,355,1622,626,917,188,33,31,2
161,355,1622,626,814,214,9,7,6
162,361,1622,626,753,206,31,30,1
163,361,1622,626,749,245,40,34,7
164,363,1622,626,1182,403,40,25,6
165,365,1622,626,953,367,8,7,5
166,365,1622,626,894,373,5,5,2
167,365,1622,626,1165,350,11,14,2
168,369,1622,626,524,399,12,14,5
169,369,1622,626,1053,400,5,5,1
170,375,1622,626,787,420,23,21,2
171,378,1622,626,1550,395,63,45,6
172,379,1622,626,807,354,13,13,3
173,379,1622,626,788,371,6,7,2
174,382,1622,626,1111,335,21,18,7
175,384,1622,626,1176,400,55,53,6
176,384,1622,626,738,419,6,6,1
177,387,1622,626,1002,395,21,16,2
178,391,1622,626,951,219,34,41,2
179,391,1622,626,961,174,25,39,5
180,395,1622,626,896,415,17,17,6
181,395,1622,626,740,420,5,5,1
182,397,1622,626,1070,325,29,23,3
183,399,1622,626,963,451,17,15,6
184,399,1622,626,964,467,17,14,6
185,399,1622,626,791,482,4,4,2
186,401,1622,626,854,429,4,4,1
187,403,1622,626,919,180,38,35,2
188,403,1622,626,918,144,41,36,5
189,404,1622,626,424,253,22,19,1
190,404,1622,626,426,277,19,20,7
191,404,1622,626,860,274,12,12,2
192,404,1622,626,860,250,12,12,2
193,411,1622,626,947,232,68,62,2
194,412,1622,626,1052,350,22,18,3
195,412,1622,626,1016,347,12,11,2
196,412,1622,626,980,364,6,8,3
197,413,1622,626,662,449,21,18,6
198,417,1622,626,860,258,33,25,2
199,417,1622,626,863,205,28,27,2
200,418,1622,626,1400,403,12,9,7
201,427,1622,626,888,299,11,9,2
202,427,1622,626,885,278,12,10,2
203,441,1622,626,584,225,48,39,6
204,442,1622,626,6,482,22,14,7
205,442,1622,626,32,480,18,17,6
206,442,1622,626,863,397,27,25,5
207,445,1622,626,1435,240,129,86,2
208,447,1622,626,866,414,18,16,6
209,447,1622,626,719,417,6,4,5
210,449,1622,626,184,353,34,39,5
211,456,1622,626,1217,393,30,26,6
212,456,1622,626,886,405,6,5,1
213,457,1622,626,905,242,24,24,2
214,457,1622,626,903,273,29,19,5
215,457,1622,626,826,131,37,34,4
216,457,1622,626,865,125,37,37,4
217,458,1622,626,1138,432,21,16,3
218,459,1622,626,1530,98,91,126,2
219,460,1622,626,883,417,16,14,1
220,463,1622,626,941,412,19,15,5
221,468,1622,626,872,403,7,7,1
222,469,1622,626,602,406,14,12,1
223,472,1622,626,887,193,18,21,3
224,472,1622,626,834,213,9,8,5
225,472,1622,626,834,222,9,8,2
226,474,1622,626,807,215,7,7,2
227,474,1622,626,816,217,7,7,6
228,483,1622,626,990,186,60,58,2
229,483,1622,626,760,208,11,9,6
230,483,1622,626,287,210,15,19,2
231,483,1622,626,286,187,15,21,5
232,484,1622,626,694,439,50,40,6
233,488,1622,626,887,410,4,4,1
234,491,1622,626,1110,269,39,43,2
235,499,1622,626,839,273,27,27,2
236,500,1622,626,668,366,20,17,6
237,507,1622,626,837,402,12,11,1
238,507,1622,626,311,394,15,16,5
239,509,1622,626,820,424,9,7,1
240,510,1622,626,893,354,72,73,6
241,510,1622,626,542,374,8,8,6
242,515,1622,626,745,389,28,28,4
243,515,1622,626,926,363,77,69,6
244,517,1622,626,805,390,36,31,1
245,517,1622,626,1256,386,30,20,4
246,517,1622,626,1156,399,15,12,6
247,518,1622,626,987,421,37,33,6
248,518,1622,626,989,456,41,29,6
249,525,1622,626,867,309,12,10,2
250,528,1622,626,786,463,11,9,2
251,528,1622,626,501,455,9,12,1
252,529,1622,626,54,330,110,119,1
253,529,1622,626,951,387,15,20,5
254,529,1622,626,970,390,21,15,4
255,546,1622,626,669,340,25,22,6
256,547,1622,626,1247,398,28,25,4
257,552,1622,626,995,388,27,28,5
258,553,1622,626,1417,378,62,54,4
259,555,1622,626,864,401,8,7,1
260,557,1622,626,544,287,23,19,6
261,558,1622,626,1348,181,33,48,2
262,558,1622,626,1338,261,31,42,2
263,560,1622,626,1051,113,124,94,2
264,561,1622,626,624,370,51,42,6
265,567,1622,626,1324,129,64,63,5
266,567,1622,626,1314,190,69,58,2
267,568,1622,626,672,368,64,51,1
268,568,1622,626,1328,378,38,28,4
269,569,1622,626,326,66,91,91,2
270,572,1622,626,803,405,11,11,1
271,577,1622,626,1045,480,19,16,6
272,580,1622,626,651,319,56,45,6
273,581,1622,626,923,285,91,87,6
274,583,1622,626,868,413,6,5,1
275,584,1622,626,820,222,7,7,5
276,591,1622,626,924,335,12,14,2
277,591,1622,626,457,338,13,14,6
278,591,1622,626,457,321,16,15,6
279,591,1622,626,1533,297,44,33,2
280,593,1622,626,301,400,18,19,5
281,596,1622,626,879,407,7,6,1
282,598,1622,626,613,255,20,19,4
283,598,1622,626,678,322,11,11,4
284,600,1622,626,217,276,19,15,5
285,608,1622,626,1458,443,36,41,1
286,608,1622,626,850,462,14,12,2
287,610,1622,626,0,256,32,42,5
288,610,1622,626,810,322,24,20,2
289,611,1622,626,0,129,34,35,5
290,613,1622,626,809,428,12,11,1
291,615,1622,626,550,377,23,21,6
292,617,1622,626,566,222,10,11,6
293,618,1622,626,1032,238,110,109,3
294,618,1622,626,758,473,7,7,2
295,622,1622,626,979,216,29,27,2
296,622,1622,626,976,181,35,30,5
297,624,1622,626,1059,444,15,11,6
298,627,1622,626,54,399,39,29,4
299,628,1622,626,824,257,46,44,2
300,629,1622,626,815,288,10,10,2
301,629,1622,626,815,307,9,9,2
302,630,1622,626,611,452,17,16,6
303,630,1622,626,630,452,16,15,6
304,634,1622,626,735,269,37,37,4
305,642,1622,626,1012,296,32,35,2
306,646,1622,626,829,402,16,19,5
307,652,1622,626,1601,370,20,49,2
308,652,1622,626,1470,405,14,13,6
309,654,1622,626,906,160,57,46,6
310,660,1622,626,1169,175,52,54,2
311,663,1622,626,966,460,44,38,6
312,667,1622,626,1421,380,31,34,6
313,669,1622,626,843,427,25,26,2
314,672,1622,626,744,414,21,19,6
315,673,1622,626,853,356,10,8,2
316,674,1622,626,792,485,7,8,2
317,685,1622,626,1113,335,17,18,7
318,688,1622,626,926,420,8,8,1
319,693,1622,626,1310,371,31,25,4
320,693,1622,626,637,365,71,68,1
321,697,1622,626,847,270,37,38,2
322,698,1622,626,971,87,116,101,2
323,698,1622,626,976,0,106,86,3
324,701,1622,626,776,476,11,10,3
325,704,1622,626,769,245,67,65,6
326,707,1622,626,732,393,28,31,1
327,707,1622,626,1207,387,23,23,4
328,709,1622,626,328,439,79,79,3
329,709,1622,626,604,465,31,28,1
330,716,1622,626,827,333,27,22,3
331,716,1622,626,792,365,8,8,2
332,717,1622,626,914,419,10,9,1
333,718,1622,626,991,234,25,22,1
334,718,1622,626,992,258,24,22,7
335,718,1622,626,441,275,27,20,5
336,721,1622,626,1093,443,111,96,6
337,728,1622,626,613,348,10,9,6
338,732,1622,626,922,242,23,22,2
339,732,1622,626,279,204,25,27,2
340,732,1622,626,278,173,29,28,5
341,736,1622,626,614,452,19,18,6
342,738,1622,626,727,392,16,18,6
343,738,1622,626,691,395,12,13,4
344,739,1622,626,819,465,15,13,2
345,748,1622,626,760,408,11,12,1
346,750,1622,626,1087,199,57,53,2
347,752,1622,626,915,419,12,10,1
348,753,1622,626,487,166,53,49,2
349,753,1622,626,483,66,60,55,4
350,755,1622,626,1106,451,51,40,6
351,755,1622,626,763,477,5,5,1
352,758,1622,626,794,191,71,70,5
353,758,1622,626,803,122,66,69,2
354,762,1622,626,1530,32,91,106,2
355,763,1622,626,824,457,22,20,3
356,765,1622,626,854,411,29,22,6
357,766,1622,626,1103,266,14,13,1
358,766,1622,626,1101,283,16,13,7
359,766,1622,626,743,277,11,12,5
360,776,1622,626,925,209,44,46,3
361,781,1622,626,910,449,10,8,6
362,782,1622,626,806,208,45,49,2
363,789,1622,626,1064,315,38,30,3
364,790,1622,626,785,477,11,12,3
365,794,1622,626,842,419,15,14,1
366,794,1622,626,979,419,5,5,5
367,795,1622,626,1051,467,49,44,6
368,795,1622,626,810,468,18,17,6
369,796,1622,626,919,288,19,20,2
370,800,1622,626,529,93,66,53,4
371,800,1622,626,690,313,14,16,4
372,803,1622,626,764,482,9,9,3
373,804,1622,626,1321,387,47,39,4
374,805,1622,626,89,201,42,36,1
375,805,1622,626,75,159,59,39,5
376,807,1622,626,816,191,18,17,2
377,807,1622,626,815,176,17,14,5
378,809,1622,626,831,478,30,31,6
379,810,1622,626,778,435,17,18,2
380,811,1622,626,680,398,38,42,1
381,811,1622,626,1167,402,21,21,4
382,816,1622,626,1389,72,64,76,2
383,816,1622,626,1379,211,72,82,2
384,817,1622,626,205,145,23,31,5
385,817,1622,626,210,178,22,28,2
386,817,1622,626,216,208,19,21,6
387,823,1622,626,578,402,5,6,1
388,823,1622,626,996,404,7,6,1
389,828,1622,626,1178,406,32,28,6
390,828,1622,626,1066,407,20,17,2
391,829,1622,626,1056,444,13,15,3
392,832,1622,626,803,469,14,14,3
393,833,1622,626,1270,148,60,66,2
394,834,1622,626,890,252,20,17,2
395,836,1622,626,1436,369,48,39,4
396,838,1622,626,819,409,10,10,1
397,838,1622,626,527,415,7,10,5
398,840,1622,626,326,213,17,16,2
399,840,1622,626,810,217,13,12,2
400,846,1622,626,1019,166,45,45,2
401,848,1622,626,929,450,13,15,6
402,851,1622,626,36,336,51,40,5
403,851,1622,626,1126,285,41,46,2
404,852,1622,626,101,307,34,28,3
405,853,1622,626,1122,230,40,41,2
406,854,1622,626,874,231,38,37,3
407,854,1622,626,600,307,8,8,1
408,854,1622,626,600,318,10,9,7
409,864,1622,626,1517,353,67,47,6
410,864,1622,626,1521,399,72,41,6
411,864,1622,626,934,404,6,5,1
412,865,1622,626,1113,337,17,17,7
413,867,1622,626,1137,321,15,26,1
414,867,1622,626,816,357,13,11,2
415,868,1622,626,1275,366,37,50,6
416,868,1622,626,805,461,11,12,2
417,868,1622,626,449,445,13,17,1
418,870,1622,626,1030,200,44,48,2
419,872,1622,626,1086,310,41,46,2
420,885,1622,626,854,421,37,38,3
421,888,1622,626,976,375,39,37,6
422,895,1622,626,1069,364,67,60,6
423,900,1622,626,919,204,38,41,2
424,901,1622,626,919,390,20,18,6
425,902,1622,626,981,160,40,46,2
426,902,1622,626,411,193,12,27,5
427,905,1622,626,902,246,59,58,3
428,905,1622,626,796,360,10,11,2
429,910,1622,626,853,433,8,8,1
430,912,1622,626,1181,371,39,35,4
431,914,1622,626,1088,416,21,18,5
432,914,1622,626,1320,356,91,55,6
433,914,1622,626,1329,407,92,54,6
434,920,1622,626,791,408,16,15,5
435,920,1622,626,322,455,10,9,7
436,920,1622,626,331,455,9,9,6
437,925,1622,626,893,202,19,18,5
438,925,1622,626,893,221,20,19,2
439,927,1622,626,855,204,19,17,2
440,927,1622,626,909,204,23,24,6
441,929,1622,626,912,192,23,25,2
442,930,1622,626,1487,364,54,47,4
443,930,1622,626,1429,365,57,46,5
444,932,1622,626,1080,409,18,15,4
445,934,1622,626,699,471,15,13,1
446,934,1622,626,665,470,15,18,3
447,935,1622,626,1061,335,50,49,2
448,935,1622,626,1215,332,54,53,5
449,935,1622,626,33,327,80,64,5
450,935,1622,626,48,264,87,59,2
451,937,1622,626,1022,389,28,27,5
452,938,1622,626,1113,336,15,17,7
453,944,1622,626,1476,375,95,101,6
454,953,1622,626,1021,198,19,20,5
455,957,1622,626,815,371,31,28,3
456,957,1622,626,793,403,6,6,2
457,963,1622,626,921,420,10,9,1
458,971,1622,626,809,291,12,11,2
459,978,1622,626,768,117,95,120,6
460,982,1622,626,777,432,36,36,6
461,982,1622,626,743,432,33,39,6
462,987,1622,626,1130,55,138,111,2
463,991,1622,626,789,476,11,13,3
464,994,1622,626,1103,210,17,30,2
465,994,1622,626,926,216,22,20,2
466,994,1622,626,925,216,22,20,2
467,994,1622,626,1105,211,15,27,2
468,996,1622,626,1289,389,36,30,4
469,998,1622,626,774,405,5,6,1
470,1000,1622,626,873,298,9,9,2
471,1000,1622,626,872,308,9,8,6
472,1003,1622,626,896,382,10,9,6
473,1006,1622,626,343,295,17,13,6
474,1006,1622,626,361,294,16,13,6
475,1006,1622,626,377,293,16,13,6
476,1008,1622,626,635,434,41,40,7
477,1008,1622,626,640,365,37,38,3
478,1008,1622,626,836,470,16,16,7
479,1008,1622,626,624,474,6,5,1
480,1008,1622,626,624,480,6,5,7
481,1010,1622,626,1155,350,12,10,6
482,1016,1622,626,801,333,30,28,2
483,1016,1622,626,707,323,16,16,3
484,1016,1622,626,497,347,10,7,3
485,1016,1622,626,655,362,10,9,5
486,1016,1622,626,552,352,5,4,7
487,1016,1622,626,552,346,5,4,1
488,1029,1622,626,811,389,15,12,6
489,1030,1622,626,908,209,54,55,2
490,1031,1622,626,606,31,76,73,4
491,1031,1622,626,995,21,82,67,4
492,1031,1622,626,1468,0,61,18,5
493,1032,1622,626,729,418,19,17,3
494,1032,1622,626,649,473,6,5,1
495,1032,1622,626,650,479,5,7,7
496,1036,1622,626,751,334,29,28,3
497,1036,1622,626,373,312,23,17,3
498,1036,1622,626,526,331,8,8,1
499,1036,1622,626,527,340,8,8,7
500,1036,1622,626,623,362,6,6,2
501,1036,1622,626,602,330,4,4,5
502,1036,1622,626,608,330,3,4,5
503,1036,1622,626,614,330,3,4,5
504,1040,1622,626,577,196,23,35,5
505,1040,1622,626,324,336,10,16,1
506,1042,1622,626,554,408,25,25,4
507,1042,1622,626,746,471,17,15,6
508,1046,1622,626,650,363,8,8,2
509,1051,1622,626,649,319,30,26,6
510,1054,1622,626,910,330,49,50,2
511,1054,1622,626,623,325,11,10,5
512,1060,1622,626,829,298,7,7,1
513,1060,1622,626,829,306,7,6,7
514,1061,1622,626,1146,279,46,41,6
515,1064,1622,626,782,354,24,23,6
516,1064,1622,626,607,368,5,4,1
517,1067,1622,626,1168,259,49,53,3
518,1069,1622,626,344,268,49,45,1
519,1069,1622,626,343,315,49,48,7
520,1078,1622,626,428,115,32,29,1
521,1078,1622,626,431,150,34,31,7
522,1078,1622,626,879,163,46,44,2
523,1083,1622,626,1474,301,74,64,2
524,1086,1622,626,1241,102,105,95,6
525,1089,1622,626,775,314,7,6,6
526,1091,1622,626,684,471,17,16,7
527,1091,1622,626,686,441,18,16,3
528,1091,1622,626,795,482,12,11,7
529,1091,1622,626,643,482,5,5,1
530,1091,1622,626,643,487,6,5,7
531,1092,1622,626,983,354,25,21,6
532,1093,1622,626,733,319,11,9,6
533,1094,1622,626,287,248,44,40,4
534,1094,1622,626,440,254,41,42,4
535,1094,1622,626,489,255,39,39,4
536,1094,1622,626,352,347,44,48,4
537,1094,1622,626,394,362,15,19,5
538,1104,1622,626,777,342,5,6,6
539,1106,1622,626,995,477,17,24,5
540,1106,1622,626,776,494,12,10,6
541,1109,1622,626,718,364,20,20,6
542,1113,1622,626,915,359,21,20,2
543,1113,1622,626,913,380,22,23,4
544,1114,1622,626,1075,289,37,34,3
545,1114,1622,626,843,305,9,10,2
546,1118,1622,626,716,328,7,6,6
547,1124,1622,626,226,123,14,11,5
548,1136,1622,626,596,247,15,13,6
549,1136,1622,626,494,224,12,11,5
550,1137,1622,626,487,425,6,7,6
551,1141,1622,626,675,332,12,11,6
552,1143,1622,626,331,308,35,28,7
553,1146,1622,626,417,280,18,15,2
554,1146,1622,626,395,294,25,18,5
555,1146,1622,626,394,279,19,12,5
556,1147,1622,626,534,359,23,24,1
557,1147,1622,626,558,361,14,20,6
558,1147,1622,626,577,361,17,18,5
559,1147,1622,626,597,362,17,17,5
560,1147,1622,626,615,362,16,18,5
561,1147,1622,626,634,362,15,17,5
562,1147,1622,626,659,371,15,18,5
563,1147,1622,626,656,392,17,15,3
564,1150,1622,626,1333,424,66,52,5
565,1150,1622,626,802,476,16,15,6
566,1151,1622,626,940,212,47,48,2
567,1151,1622,626,811,331,12,11,2
568,1152,1622,626,448,308,7,6,6
569,1154,1622,626,1072,371,40,45,2
570,1156,1622,626,1123,250,26,24,2
571,1156,1622,626,1120,276,25,20,6
572,1157,1622,626,985,362,37,35,6
573,1158,1622,626,631,413,20,20,2
574,1160,1622,626,769,372,34,35,2
575,1161,1622,626,422,158,33,34,5
576,1161,1622,626,1346,252,39,32,5
577,1162,1622,626,600,244,41,40,2
578,1162,1622,626,599,282,39,40,5
579,1167,1622,626,593,398,31,29,2
580,1167,1622,626,589,428,35,28,5
581,1167,1622,626,654,456,17,16,4
582,1167,1622,626,635,427,12,11,4
583,1167,1622,626,680,427,11,10,4
584,1167,1622,626,694,426,11,12,4
585,1167,1622,626,838,446,31,31,2
586,1170,1622,626,798,240,17,16,3
587,1172,1622,626,1112,298,14,13,7
588,1172,1622,626,989,295,14,14,7
589,1173,1622,626,906,250,59,53,6
590,1180,1622,626,1390,172,65,54,2
591,1180,1622,626,1386,226,52,39,6
592,1187,1622,626,1138,289,42,32,6
593,1190,1622,626,996,124,60,55,6
594,1190,1622,626,766,198,9,10,6
595,1192,1622,626,922,225,70,62,6
596,1193,1622,626,1147,120,109,108,2
597,1193,1622,626,1145,229,106,109,4
598,1203,1622,626,705,226,31,32,5
599,1203,1622,626,705,260,32,34,2
600,1204,1622,626,715,346,48,51,2
601,1204,1622,626,450,373,8,8,4
602,1204,1622,626,438,374,10,8,4
603,1204,1622,626,388,379,19,17,4
604,1204,1622,626,404,374,8,8,4
605,1204,1622,626,419,395,12,10,4
606,1219,1622,626,1017,282,27,24,6
607,1226,1622,626,656,303,37,41,1
608,1231,1622,626,616,452,19,20,6
609,1232,1622,626,759,263,19,19,2
610,1232,1622,626,758,284,21,19,4
611,1240,1622,626,773,317,6,8,3
612,1241,1622,626,1132,352,157,135,6
613,1250,1622,626,911,318,38,35,2
614,1250,1622,626,800,333,26,25,5
615,1250,1622,626,1286,380,19,17,2
616,1250,1622,626,1572,362,17,18,5
617,1250,1622,626,1592,361,18,21,5
618,1250,1622,626,541,291,18,16,4
619,1250,1622,626,624,295,16,17,4
620,1250,1622,626,726,293,9,10,4
621,1250,1622,626,69,261,58,47,1
622,1250,1622,626,65,311,57,44,7
623,1254,1622,626,908,372,43,42,3
624,1254,1622,626,811,435,12,11,2
625,1263,1622,626,796,335,7,8,1
626,1263,1622,626,882,336,7,7,6
627,1276,1622,626,675,319,26,24,5
628,1285,1622,626,903,331,69,62,2
629,1286,1622,626,505,451,9,10,6
630,1290,1622,626,538,277,19,25,5
631,1290,1622,626,1044,200,47,36,1
632,1290,1622,626,1052,238,33,36,7
633,1290,1622,626,1166,202,14,14,4
634,1290,1622,626,1185,202,13,13,4
635,1290,1622,626,1205,201,12,13,4
636,1290,1622,626,1233,301,23,22,2
637,1294,1622,626,1271,277,30,26,4
638,1295,1622,626,642,260,19,21,3
639,1295,1622,626,729,303,7,7,1
640,1295,1622,626,728,311,8,8,7
641,1300,1622,626,1001,127,52,48,6
642,1300,1622,626,764,198,13,10,6
643,1303,1622,626,903,26,54,61,5
644,1304,1622,626,1221,247,97,90,6
645,1305,1622,626,861,426,82,88,6
646,1306,1622,626,406,239,28,22,3
647,1306,1622,626,406,211,26,25,2
648,1306,1622,626,237,144,49,42,5
649,1306,1622,626,598,282,10,10,3
650,1306,1622,626,577,300,5,4,1
651,1306,1622,626,577,305,5,5,7
652,1308,1622,626,734,359,22,22,4
653,1308,1622,626,845,357,23,24,4
654,1308,1622,626,981,341,17,16,4
655,1308,1622,626,1113,337,19,16,4
656,1308,1622,626,1183,336,19,18,4
657,1308,1622,626,1282,341,50,44,2
658,1308,1622,626,1289,387,51,46,5
659,1308,1622,626,1176,479,22,18,6
660,1313,1622,626,1294,255,67,77,3
661,1313,1622,626,1132,291,13,19,2
662,1313,1622,626,850,304,10,11,2
663,1313,1622,626,518,319,8,12,1
664,1314,1622,626,782,309,11,8,6
665,1334,1622,626,639,423,54,44,6
666,1338,1622,626,893,360,49,49,2
667,1341,1622,626,855,304,32,31,2
668,1343,1622,626,285,305,47,35,4
669,1343,1622,626,371,319,17,13,4
670,1343,1622,626,428,319,13,12,4
671,1343,1622,626,445,318,13,12,4
672,1343,1622,626,398,352,18,17,4
673,1346,1622,626,1287,270,66,57,5
674,1351,1622,626,863,260,37,34,2
675,1362,1622,626,705,352,17,17,2
676,1362,1622,626,670,338,10,12,2
677,1362,1622,626,643,365,7,6,5
678,1362,1622,626,519,352,6,6,5
679,1369,1622,626,607,323,6,6,1
680,1382,1622,626,725,255,57,59,6
681,1383,1622,626,719,308,11,10,6
682,1398,1622,626,535,199,18,14,2
683,1398,1622,626,526,240,19,16,5
684,1398,1622,626,526,260,17,12,4
685,1398,1622,626,535,214,18,20,4
686,1398,1622,626,734,263,12,12,5
687,1398,1622,626,708,281,6,6,2
688,1403,1622,626,890,287,30,25,6
689,1408,1622,626,93,173,70,55,2
690,1408,1622,626,1141,142,40,38,2
691,1414,1622,626,110,397,19,15,1
692,1414,1622,626,103,426,21,16,7
693,1415,1622,626,1373,304,34,32,5
694,1415,1622,626,1331,270,34,32,6
695,1423,1622,626,935,267,95,93,2
696,1426,1622,626,757,307,43,45,5
697,1430,1622,626,777,311,8,7,6
698,1434,1622,626,893,346,6,5,6
699,1441,1622,626,832,260,33,38,3
700,1441,1622,626,681,355,14,14,3
701,1441,1622,626,457,335,13,11,3
702,1441,1622,626,541,340,6,5,1
703,1441,1622,626,540,347,6,6,7
704,1447,1622,626,894,422,20,19,6
705,1451,1622,626,363,301,24,21,5
706,1451,1622,626,478,297,15,14,2
707,1451,1622,626,590,312,15,15,2
708,1451,1622,626,591,330,14,12,6
709,1455,1622,626,986,364,27,26,2
710,1455,1622,626,1271,349,34,40,2
711,1457,1622,626,948,287,42,49,5
